,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Market_cap
10,10,SPG,Real Estate,2022-05-10,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/10/simon-property-group-spg-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/SPG/2022/Q1/,43933540352.0
11,11,MCHP,Information Technology,2022-05-09,2022,Q4,https://www.fool.com/earnings/call-transcripts/2022/05/09/microchip-technology-mchp-q4-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/MCHP/2022/Q4/,36656484352.0
12,12,EOG,Energy,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/eog-resources-eog-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/EOG/2022/Q1/,74010697728.0
13,13,D,Utilities,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/dominion-energy-inc-d-q1-2022-earnings-call-transc/,/Users/gyf/Desktop/earning call analysis/D/2022/Q1/,67903299584.0
14,14,CI,Health Care,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/cigna-ci-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/CI/2022/Q1/,84550074368.0
15,15,DVA,Health Care,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/davita-dva-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DVA/2022/Q1/,9450540032.0
16,16,PPL,Utilities,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/ppl-ppl-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/PPL/2022/Q1/,21326467072.0
17,17,VRTX,Health Care,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/vertex-pharmaceuticals-vrtx-q1-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/VRTX/2022/Q1/,65005502464.0
18,18,NLOK,Information Technology,2022-05-06,2022,Q4,https://www.fool.com/earnings/call-transcripts/2022/05/06/nortonlifelock-nlok-q4-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/NLOK/2022/Q4/,13923934208.0
19,19,ZTS,Health Care,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/zoetis-zts-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ZTS/2022/Q1/,77884391424.0
20,20,PENN,Consumer Discretionary,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/penn-national-gaming-penn-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/PENN/2022/Q1/,4960721408.0
21,21,O,Real Estate,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/realty-income-o-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/O/2022/Q1/,40944758784.0
22,22,MCK,Health Care,2022-05-06,2022,Q4,https://www.fool.com/earnings/call-transcripts/2022/05/06/mckesson-mck-q4-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MCK/2022/Q4/,47686983680.0
23,23,WRK,Materials,2022-05-06,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/05/06/westrock-wrk-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/WRK/2022/Q2/,11802195968.0
24,24,PH,Industrials,2022-05-06,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/05/06/parker-hannifin-ph-q3-2022-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/PH/2022/Q3/,34069927936.0
25,25,HST,Real Estate,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/host-hotels-resorts-hst-q1-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/HST/2022/Q1/,14634456064.0
26,26,COP,Energy,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/conocophillips-cop-q1-2022-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/COP/2022/Q1/,136458977280.0
27,27,SRE,Utilities,2022-05-06,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/06/sempra-energy-sre-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SRE/2022/Q1/,50785402880.0
28,28,RCL,Consumer Discretionary,2022-05-05,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/05/royal-caribbean-rcl-q1-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/RCL/2022/Q1/,15654298624.0
29,29,MELI,Consumer Discretionary,2022-05-05,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/05/mercadolibre-meli-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MELI/2022/Q1/,39688290304.0
30,30,MRO,Energy,2022-05-05,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/05/marathon-oil-mro-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MRO/2022/Q1/,19801194496.0
31,31,IR,Industrials,2022-05-05,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/05/ingersoll-rand-inc-ir-q1-2022-earnings-call-transc/,/Users/gyf/Desktop/earning call analysis/IR/2022/Q1/,17637658624.0
32,32,APA,Energy,2022-05-05,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/05/apache-apa-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/APA/2022/Q1/,14344419328.0
33,33,ATO,Utilities,2022-05-05,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/05/05/atmos-energy-ato-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ATO/2022/Q2/,15735108608.0
34,34,EPAM,Information Technology,2022-05-05,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/05/epam-systems-epam-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/EPAM/2022/Q1/,17771134976.0
35,35,ALB,Materials,2022-05-05,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/05/albemarle-alb-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ALB/2022/Q1/,26505015296.0
36,36,DDOG,Information Technology,2022-05-05,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/05/datadog-ddog-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DDOG/2022/Q1/,30616502272.0
37,37,CVS,Health Care,2022-05-05,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/05/cvs-health-cvs-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/CVS/2022/Q1/,129229602816.0
38,38,CTSH,Information Technology,2022-05-05,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/05/cognizant-technology-solutions-ctsh-q1-2022-earnin/,/Users/gyf/Desktop/earning call analysis/CTSH/2022/Q1/,37826809856.0
39,39,BKNG,Consumer Discretionary,2022-05-05,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/05/booking-holdings-bkng-q1-2022-earnings-call-transc/,/Users/gyf/Desktop/earning call analysis/BKNG/2022/Q1/,83115679744.0
40,40,CDAY,Information Technology,2022-05-04,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/04/ceridian-hcm-holding-inc-cday-q1-2022-earnings-cal/,/Users/gyf/Desktop/earning call analysis/CDAY/2022/Q1/,8371051520.0
41,41,LUMN,Communication Services,2022-05-04,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/04/lumen-technologies-lumn-q1-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/LUMN/2022/Q1/,12055810048.0
42,42,PRU,Financials,2022-05-04,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/04/prudential-financial-pru-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/PRU/2022/Q1/,37886251008.0
43,43,OKE,Energy,2022-05-04,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/04/oneok-oke-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/OKE/2022/Q1/,29114898432.0
44,44,YUM,Consumer Discretionary,2022-05-04,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/04/yum-brands-yum-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/YUM/2022/Q1/,31986845696.0
45,45,IDXX,Health Care,2022-05-04,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/04/idexx-laboratories-idxx-q1-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/IDXX/2022/Q1/,30259394560.0
46,46,JCI,Industrials,2022-05-04,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/05/04/johnson-controls-jci-q2-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/JCI/2022/Q2/,36042612736.0
47,47,AIG,Financials,2022-05-04,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/04/american-international-group-aig-q1-2022-earnings/,/Users/gyf/Desktop/earning call analysis/AIG/2022/Q1/,46454136832.0
48,48,MTCH,Communication Services,2022-05-04,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/04/match-group-mtch-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MTCH/2022/Q1/,21633669120.0
49,49,JKHY,Information Technology,2022-05-04,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/05/04/jack-henry-associates-jkhy-q3-2022-earnings-call-t/,/Users/gyf/Desktop/earning call analysis/JKHY/2022/Q3/,12901639168.0
50,50,SBUX,Consumer Discretionary,2022-05-04,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/05/04/starbucks-sbux-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SBUX/2022/Q2/,83058491392.0
51,51,PAYC,Information Technology,2022-05-04,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/04/paycom-software-payc-q1-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/PAYC/2022/Q1/,16876542976.0
52,52,ABNB,Consumer Discretionary,2022-05-04,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/04/airbnb-inc-abnb-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ABNB/2022/Q1/,73889669120.0
53,53,AMD,Information Technology,2022-05-04,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/04/advanced-micro-devices-amd-q1-2022-earnings-call-t/,/Users/gyf/Desktop/earning call analysis/AMD/2022/Q1/,152716853248.0
54,54,SWKS,Information Technology,2022-05-04,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/05/04/skyworks-solutions-swks-q2-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/SWKS/2022/Q2/,16412841984.0
55,55,AKAM,Information Technology,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/akamai-technologies-akam-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/AKAM/2022/Q1/,15857369088.0
56,56,DVN,Energy,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/devon-energy-dvn-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DVN/2022/Q1/,46853398528.0
57,57,MOS,Materials,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/mosaic-mos-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MOS/2022/Q1/,22841757696.0
58,58,NXPI,Information Technology,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/nxp-semiconductors-nxpi-q1-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/NXPI/2022/Q1/,46471380992.0
59,59,HSIC,Health Care,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/henry-schein-hsic-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/HSIC/2022/Q1/,11625275392.0
60,60,ETN,Industrials,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/eaton-etn-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ETN/2022/Q1/,55453020160.0
61,61,MPC,Energy,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/marathon-petroleum-mpc-q1-2022-earnings-call-trans/,/Users/gyf/Desktop/earning call analysis/MPC/2022/Q1/,52189790208.0
62,62,PGR,Financials,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/progressive-pgr-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/PGR/2022/Q1/,64190468096.0
63,63,SEE,Materials,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/sealed-air-see-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SEE/2022/Q1/,9124406272.0
64,64,SPGI,Financials,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/sp-global-spgi-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SPGI/2022/Q1/,113988861952.0
65,65,FIS,Information Technology,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/fidelity-national-information-services-fis-q1-2022/,/Users/gyf/Desktop/earning call analysis/FIS/2022/Q1/,58853896192.0
66,66,FANG,Energy,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/diamondback-energy-fang-q1-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/FANG/2022/Q1/,23304830976.0
67,67,VNO,Real Estate,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/vornado-realty-trust-vno-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/VNO/2022/Q1/,7125644288.0
68,68,BIIB,Health Care,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/biogen-biib-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/BIIB/2022/Q1/,29053149184.0
69,69,ITW,Industrials,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/illinois-tool-works-itw-q1-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/ITW/2022/Q1/,64490504192.0
70,70,EL,Consumer Staples,2022-05-03,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/05/03/the-estee-lauder-companies-el-q3-2022-earnings-cal/,/Users/gyf/Desktop/earning call analysis/EL/2022/Q3/,84112343040.0
71,71,DD,Materials,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/dupont-de-nemours-inc-dd-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/DD/2022/Q1/,32616921088.0
72,72,CTLT,Health Care,2022-05-03,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/05/03/catalent-ctlt-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/CTLT/2022/Q3/,17507317760.0
73,73,MGM,Consumer Discretionary,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/mgm-resorts-international-mgm-q1-2022-earnings-cal/,/Users/gyf/Desktop/earning call analysis/MGM/2022/Q1/,14941643776.0
74,74,MPWR,Information Technology,2022-05-02,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/02/monolithic-power-systems-mpwr-q1-2022-earnings-cal/,/Users/gyf/Desktop/earning call analysis/MPWR/2022/Q1/,19450130432.0
75,75,ANET,Information Technology,2022-05-02,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/02/arista-networks-anet-q1-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/ANET/2022/Q1/,32266500096.0
76,76,SEDG,Information Technology,2022-05-02,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/02/solaredge-technologies-sedg-q1-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/SEDG/2022/Q1/,12339736576.0
77,77,ABBV,Health Care,2022-04-30,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/30/abbvie-abbv-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ABBV/2022/Q1/,274962317312.0
78,78,PSX,Energy,2022-04-30,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/30/phillips-66-psx-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/PSX/2022/Q1/,46705188864.0
79,79,CPT,Real Estate,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/camden-property-trust-cpt-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/CPT/2022/Q1/,15361393664.0
80,80,CVX,Energy,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/chevron-cvx-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/CVX/2022/Q1/,339971080192.0
81,81,HON,Industrials,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/honeywell-international-hon-q1-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/HON/2022/Q1/,132034977792.0
82,82,XOM,Energy,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/exxonmobil-xom-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/XOM/2022/Q1/,385045004288.0
83,83,LNT,Utilities,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/alliant-energy-lnt-q1-2022-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/LNT/2022/Q1/,14762911744.0
84,84,BMY,Health Care,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/bristol-myers-squibb-bmy-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/BMY/2022/Q1/,163746004992.0
85,85,CINF,Financials,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/cincinnati-financial-cinf-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/CINF/2022/Q1/,20222369792.0
86,86,AON,Financials,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/aon-aon-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/AON/2022/Q1/,59002396672.0
87,87,LUV,Industrials,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/southwest-airlines-luv-q1-2022-earnings-call-trans/,/Users/gyf/Desktop/earning call analysis/LUV/2022/Q1/,25603842048.0
88,88,DXCM,Health Care,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/dexcom-dxcm-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DXCM/2022/Q1/,31851669504.0
89,89,WST,Health Care,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/west-pharmaceutical-services-wst-q1-2022-earnings/,/Users/gyf/Desktop/earning call analysis/WST/2022/Q1/,22481944576.0
90,90,KLAC,Information Technology,2022-04-29,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/04/29/kla-tencor-klac-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/KLAC/2022/Q3/,49328140288.0
91,91,GILD,Health Care,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/gilead-sciences-gild-q1-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/GILD/2022/Q1/,78068260864.0
92,92,TEAM,Information Technology,2022-04-29,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/04/29/atlassian-team-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/TEAM/2022/Q3/,44867198976.0
93,93,AAPL,Information Technology,2022-04-29,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/04/29/apple-aapl-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/AAPL/2022/Q2/,2355593740288.0
94,94,DLR,Real Estate,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/digital-realty-trust-dlr-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/DLR/2022/Q1/,37362561024.0
95,95,WDC,Information Technology,2022-04-29,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/04/29/western-digital-wdc-q3-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/WDC/2022/Q3/,18129295360.0
96,96,RMD,Health Care,2022-04-28,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/04/28/resmed-rmd-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/RMD/2022/Q3/,28804978688.0
97,97,SGEN,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/seagen-inc-sgen-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SGEN/2022/Q1/,26238191616.0
98,98,AMZN,Consumer Discretionary,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/amazon-amzn-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/AMZN/2022/Q1/,1127430356992.0
99,99,MA,Information Technology,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/mastercard-ma-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MA/2022/Q1/,323264675840.0
100,100,INTC,Information Technology,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/intel-intc-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/INTC/2022/Q1/,176154132480.0
101,101,VRSN,Information Technology,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/verisign-vrsn-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/VRSN/2022/Q1/,18025629696.0
102,102,NOC,Industrials,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/northrop-grumman-noc-q1-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/NOC/2022/Q1/,71206240256.0
103,103,LLY,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/eli-lilly-and-company-lly-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/LLY/2022/Q1/,284791472128.0
104,104,TMO,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/thermo-fisher-scientific-tmo-q1-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/TMO/2022/Q1/,211146784768.0
105,105,LH,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/laboratory-corporation-of-america-lh-q1-2022-earni/,/Users/gyf/Desktop/earning call analysis/LH/2022/Q1/,22468626432.0
106,106,MO,Consumer Staples,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/altria-group-mo-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MO/2022/Q1/,97335705600.0
107,107,PHM,Consumer Discretionary,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/pultegroup-phm-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/PHM/2022/Q1/,10156178432.0
108,108,IRM,Real Estate,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/iron-mountain-irm-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/IRM/2022/Q1/,15420124160.0
109,109,SIRI,Communication Services,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/sirius-xm-holdings-inc-siri-q1-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/SIRI/2022/Q1/,24128415744.0
110,110,MRK,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/merck-co-mrk-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MRK/2022/Q1/,233485025280.0
111,111,TXT,Industrials,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/textron-txt-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/TXT/2022/Q1/,13573889024.0
112,112,LKQ,Consumer Discretionary,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/lkq-lkq-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/LKQ/2022/Q1/,14404684800.0
113,113,RTX,Industrials,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/raytheon-technologies-rtx-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/RTX/2022/Q1/,137538109440.0
114,114,EQIX,Real Estate,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/equinix-eqix-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/EQIX/2022/Q1/,58838310912.0
