,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path
1688,PH,Industrials,2021-04-30,2021,Q3,https://www.fool.com/earnings/call-transcripts/2021/04/30/parker-hannifin-corp-ph-q3-2021-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/PH/2021/Q3/
1689,HIG,Financials,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/the-hartford-financial-services-group-inc-hig-q1-2/,/Users/gyf/Desktop/earning call analysis/HIG/2021/Q1/
1690,TMO,Health Care,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/thermo-fisher-scientific-inc-tmo-q1-2021-earnings/,/Users/gyf/Desktop/earning call analysis/TMO/2021/Q1/
1691,BMY,Health Care,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/bristol-myers-squibb-bmy-q1-2021-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/BMY/2021/Q1/
1692,WDC,Information Technology,2021-04-30,2021,Q3,https://www.fool.com/earnings/call-transcripts/2021/04/30/western-digital-wdc-q3-2021-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/WDC/2021/Q3/
1693,GILD,Health Care,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/gilead-sciences-gild-q1-2021-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/GILD/2021/Q1/
1694,DLR,Real Estate,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/digital-realty-trust-dlr-q1-2021-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/DLR/2021/Q1/
1695,AVB,Real Estate,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/avalonbay-communities-inc-avb-q1-2021-earnings-cal/,/Users/gyf/Desktop/earning call analysis/AVB/2021/Q1/
1696,RMD,Health Care,2021-04-29,2021,Q3,https://www.fool.com/earnings/call-transcripts/2021/04/29/resmed-rmd-q3-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/RMD/2021/Q3/
1697,IP,Materials,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/international-paper-co-ip-q1-2021-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/IP/2021/Q1/
1698,NEM,Materials,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/newmont-mining-corp-nem-q1-2021-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/NEM/2021/Q1/
1699,CMS,Utilities,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/cms-energy-corp-cms-q1-2021-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/CMS/2021/Q1/
1700,MA,Information Technology,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/mastercard-ma-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MA/2021/Q1/
1701,CARR,Industrials,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/carrier-global-corp-carr-q1-2021-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/CARR/2021/Q1/
1702,TWTR,Communication Services,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/twitter-inc-twtr-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/TWTR/2021/Q1/
1703,AFL,Financials,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/aflac-inc-afl-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/AFL/2021/Q1/
1704,VRTX,Health Care,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/vertex-pharmaceuticals-inc-vrtx-q1-2021-earnings-c/,/Users/gyf/Desktop/earning call analysis/VRTX/2021/Q1/
1705,MO,Consumer Staples,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/altria-group-mo-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MO/2021/Q1/
