,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Trailing_pe
423,423,GE,Industrials,2022-01-25,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/25/general-electric-ge-q4-2021-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/GE/2021/Q4/,0.0
424,424,ZION,Financials,2022-01-25,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/25/zions-bancorporation-zion-q4-2021-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/ZION/2021/Q4/,7.469624
425,425,IBM,Information Technology,2022-01-25,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/25/ibm-ibm-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/IBM/2021/Q4/,25.599092
426,426,HAL,Energy,2022-01-24,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/24/halliburton-hal-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/HAL/2021/Q4/,84.351234
427,427,SLB,Energy,2022-01-21,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/21/schlumberger-slb-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SLB/2021/Q4/,36.284363
428,428,HBAN,Financials,2022-01-21,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/21/huntington-bancshares-hban-q4-2021-earnings-call-t/,/Users/gyf/Desktop/earning call analysis/HBAN/2021/Q4/,14.455494
429,429,PPG,Materials,2022-01-21,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/21/ppg-industries-ppg-q4-2021-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/PPG/2021/Q4/,20.25458
430,430,NFLX,Communication Services,2022-01-21,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/21/netflix-nflx-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/NFLX/2021/Q4/,16.788387
431,431,SIVB,Financials,2022-01-21,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/21/svb-financial-group-sivb-q4-2021-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/SIVB/2021/Q4/,13.244209
432,432,ISRG,Health Care,2022-01-21,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/21/intuitive-surgical-isrg-q4-2021-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/ISRG/2021/Q4/,47.233723
