,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Forward_pe
167,167,KEY,Financials,2022-04-21,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/21/keycorp-key-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/KEY/2022/Q1/,7.5040483
168,168,MMC,Financials,2022-04-21,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/21/marsh-mclennan-mmc-q1-2022-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/MMC/2022/Q1/,21.150398
169,169,T,Communication Services,2022-04-21,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/21/att-t-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/T/2022/Q1/,7.9501567
170,170,DOW,Materials,2022-04-21,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/21/dow-dow-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DOW/2022/Q1/,8.930537
171,171,NEE,Utilities,2022-04-21,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/21/nextera-energy-nee-q1-2022-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/NEE/2022/Q1/,23.095724
172,172,MTB,Financials,2022-04-20,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/20/m-t-bank-mtb-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MTB/2022/Q1/,8.93464
173,173,ABT,Health Care,2022-04-20,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/20/abbott-laboratories-abt-q1-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/ABT/2022/Q1/,22.989494
174,174,ANTM,Health Care,2022-04-20,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/20/anthem-antm-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ANTM/2022/Q1/,17.298933
175,175,NFLX,Communication Services,2022-04-20,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/20/netflix-nflx-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/NFLX/2022/Q1/,14.251337
176,176,IBM,Information Technology,2022-04-19,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/19/ibm-ibm-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/IBM/2022/Q1/,13.163107
177,177,OMC,Communication Services,2022-04-19,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/19/omnicom-group-omc-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/OMC/2022/Q1/,12.006241
178,178,HAL,Energy,2022-04-19,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/19/halliburton-hal-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/HAL/2022/Q1/,22.158821
179,179,PLD,Real Estate,2022-04-19,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/19/prologis-pld-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/PLD/2022/Q1/,54.493507
180,180,CFG,Financials,2022-04-19,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/19/citizens-financial-group-cfg-q1-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/CFG/2022/Q1/,9.348523
181,181,JNJ,Health Care,2022-04-19,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/19/johnson-johnson-jnj-q1-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/JNJ/2022/Q1/,17.168594
182,182,SBNY,Financials,2022-04-19,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/19/signature-bank-sbny-q1-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/SBNY/2022/Q1/,10.877172
183,183,HAS,Consumer Discretionary,2022-04-19,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/19/hasbro-has-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/HAS/2022/Q1/,17.014925
184,184,JBHT,Industrials,2022-04-19,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/19/jb-hunt-transport-services-jbht-q1-2022-earnings-c/,/Users/gyf/Desktop/earning call analysis/JBHT/2022/Q1/,21.228605
