,Ticker,Sector,Date,Year,Quarter,Forward_pe,Trailing_pe,Trailing_eps,Market_cap,Target,svd_1,svd_2,svd_3,svd_4,f_k,g_f,d_c,spache,neg_vader,neu_vader,pos_vader,sent_TB,Litigious,Positive,WeakModal,Uncertainty,StrongModal,Negative,Constraining,Target_Class
1752,RJF,8,2021-04-29,1,2.0,11.961881,14.18929,6.63,0.0,-0.97675541852646,0.024056627489929,0.0382971578249184,-0.045686612251108,-0.0245990361794165,2.8050443011490396,2.770845409847576,1.2420393063338648,3.0235078277950915,0.034,0.694,0.272,0.1043382372835498,0.14188191935949787,-0.02746857989819105,0.7407741365360686,0.36839960209937234,-0.42398323586431585,0.41485781093736723,-0.27263576051473126,0
1753,KHC,4,2021-04-29,1,1.0,16.722536,23.729816,1.858,53955682304.0,-0.9475841303840301,0.0112101543893919,-0.0081598043407432,0.0132804342476212,-0.0024791487188192,-0.8684825473119325,-1.3083382129883558,-1.407201972525188,-1.5825037822286883,0.036,0.634,0.33,0.1653530377668308,-2.078278215401981,-1.8399964953951642,-0.6608118586079786,-1.5164393813814292,-0.933704142113031,-2.018845252191924,-1.5879597405306358,0
1754,MRK,11,2021-04-29,1,1.0,12.852778,32.61644,2.834,233194782720.0,1.11291709160502,0.0187612206078457,-0.0170142035921512,0.0158603654534344,0.0144788994723199,0.2544482746105963,0.23274256798161058,0.5974803262353052,-0.06587240292544047,0.053,0.679,0.268,0.1398454521668807,0.7087313154688117,1.1141886136291232,-0.6608118586079786,0.7198102600364709,0.08573767038439928,0.906514995407931,0.8649417357152402,0
1755,MGM,3,2021-04-29,1,1.0,41.264706,28.135525,1.247,16446427136.0,0.74221441204394,0.0242881665813771,0.0208974179949099,0.0170076558195758,-0.015260160165483,-0.5478344673132355,-0.29801922332343533,-0.8717611677275763,-0.6756740007977442,0.036,0.694,0.27,0.1317999855699855,-0.0943053290193829,-0.12162587420972212,-0.48561360921497276,-0.20663601997951628,1.6149003891305447,0.11986350025502891,0.11840650381432144,0
1756,F,3,2021-04-29,1,1.0,6.557789,18.295933,0.713,52150931456.0,2.48667608596484,0.0178580209646098,-0.0057098875867067,0.0178200869745894,-0.0011260543358563,-0.9489558873541837,-0.7827918926092436,-1.1760714560456011,-0.9769852813478235,0.061,0.659,0.28,0.1613863164496076,0.00016957033216940192,-0.21578316852125318,0.21517938835705086,-0.43026098412130626,2.379481748503618,0.3534006628785467,0.3672515811146277,0
1757,NOW,9,2021-04-29,1,1.0,59.893353,397.12192,1.091,86153068544.0,0.2712861618193,0.0227407458195492,-0.0466624403826992,0.0066183992277447,-0.0352988330635215,-1.0134581808666798,-1.0016252380032309,-0.7421062270200952,-1.248668310870152,0.034,0.662,0.304,0.2202198194886872,0.3780691677383786,0.12553702335804695,-0.6608118586079786,-0.5580466779166149,0.850319029757472,0.27965208520796214,0.47389947138618754,0
1758,EQIX,1,2021-04-29,1,1.0,84.06598,136.6751,4.743,58204430336.0,2.0790834353712198,0.0275079821382671,-0.0248755025200146,0.0035440538339559,-0.0306070992254074,1.404668728800415,1.3269621614367781,0.9093503337389522,1.1613683433963837,0.028,0.723,0.249,0.131194545284112,1.724336483497999,2.797250249447741,0.21517938835705086,1.199006611768878,0.5954585766331144,1.7423322090078897,2.251364309245518,0
1759,EQIX,1,2021-04-29,1,1.0,84.06598,136.6751,4.743,58204430336.0,2.0790834353712198,0.0275079821382671,-0.0248755025200146,0.0035440538339559,-0.0306070992254074,1.404668728800415,1.3269621614367781,0.9093503337389522,1.1613683433963837,0.028,0.723,0.249,0.131194545284112,1.724336483497999,2.797250249447741,0.21517938835705086,1.199006611768878,0.5954585766331144,1.7423322090078897,2.251364309245518,0
1760,PTC,9,2021-04-29,1,2.0,21.501978,27.00248,4.03,12845690880.0,-1.8587886085852898,0.0245263631071396,-0.0276754814485881,-0.0137019934085966,-0.0001994974827146,-0.7367344142953236,-0.6873096555516411,0.06611146298378609,-0.3601845023222013,0.029,0.653,0.317,0.1409971599988377,0.8504436644961402,0.2903122884032263,0.039981138964044954,-0.11079674963303483,-0.1691227827399583,0.1813206483138494,-0.0593399799716116,0
1761,ALGN,11,2021-04-29,1,1.0,20.49255,29.642702,9.278,21621522432.0,-1.45778819325179,0.02210657245814,-0.012345356478031,-0.0094117818952759,-0.0035923492120176,2.0200457065813575,1.6423957812948458,2.280707046934107,2.0442216274201055,0.027,0.733,0.24,0.0783352266883585,0.779587489982476,1.3495818494079508,0.3903776377500568,1.4545779993594952,-0.933704142113031,0.24277779637266989,0.9715896259868,0
1762,EQR,1,2021-04-29,1,1.0,51.282757,26.33723,2.823,27871188992.0,0.9382681980094401,0.0191785016550854,0.0064788999153145,0.0196100277336822,-0.0128200755174788,0.2534036823098186,0.3214204899815178,-1.0151322574499855,-0.3490021135249113,0.052,0.713,0.235,0.1340014040014039,-0.18878022837093522,-0.32171012462172566,-0.3104153598219669,-0.7816716420584049,0.850319029757472,-0.08909080314496072,0.3317022843574411,0
1763,ESS,1,2021-04-29,1,1.0,57.33659,42.614994,6.87,18998478848.0,1.52006687697066,0.0202107331207167,0.0245464028664964,0.0004657704177081,-0.0098965509317787,0.5969867162845442,0.5647865966732392,0.21960876366490123,0.5022922854124048,0.048,0.742,0.21,0.1152264776040287,-0.44858620158770407,-0.4747157278779636,0.21517938835705086,-0.4622074075701334,-0.933704142113031,0.11986350025502891,0.08285720705713484,0
1764,UDR,1,2021-04-29,1,1.0,178.8148,268.2222,0.18,14908948480.0,0.95631918595468,0.0270532635570107,0.018433990271737,0.0053641157913818,-0.0140180169201623,1.2575077004178317,1.4065181310689099,0.9639884958591542,1.2119302918651693,0.04,0.671,0.288,0.1077204273935723,1.2283432619023493,0.2314639794585194,0.039981138964044954,0.6878638365876437,0.5954585766331144,0.08298921141973663,0.11840650381432144,0
1765,MCO,8,2021-04-29,1,1.0,22.704815,25.755243,11.162,53494587392.0,-0.98197321778552,0.0249373908978531,0.0038829792913677,-0.0123887587921884,-0.0133464016614811,0.1357520044890204,0.10517696689408855,0.7248247062549364,0.18698912636027684,0.023,0.716,0.261,0.1171630015642621,0.8504436644961402,0.17261567051381246,0.039981138964044954,0.3364531786505452,0.08573767038439928,0.07069778180797252,0.04730791029994823,0
1766,QCOM,9,2021-04-29,1,2.0,11.53006,17.030497,7.87,149979201536.0,-2.71936488869895,0.0195600176150456,-0.0272444204879137,0.0048916618783591,-0.0169041343135069,-0.17372728719534422,-0.252946410789486,0.6907082875793417,-0.40174389685716316,0.011,0.709,0.281,0.1419111707659194,-0.4958236512634802,-0.30994046283278426,-0.3104153598219669,0.11282821450875517,0.08573767038439928,-0.9494908759684474,-0.41483294754347766,0
