,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Trailing_eps
48,48,MTCH,Communication Services,2022-05-04,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/04/match-group-mtch-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MTCH/2022/Q1/,1.884
49,49,JKHY,Information Technology,2022-05-04,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/05/04/jack-henry-associates-jkhy-q3-2022-earnings-call-t/,/Users/gyf/Desktop/earning call analysis/JKHY/2022/Q3/,4.302
50,50,SBUX,Consumer Discretionary,2022-05-04,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/05/04/starbucks-sbux-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SBUX/2022/Q2/,0.0
51,51,PAYC,Information Technology,2022-05-04,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/04/paycom-software-payc-q1-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/PAYC/2022/Q1/,2.95
52,52,ABNB,Consumer Discretionary,2022-05-04,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/04/airbnb-inc-abnb-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ABNB/2022/Q1/,-7.886
53,53,AMD,Information Technology,2022-05-04,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/04/advanced-micro-devices-amd-q1-2022-earnings-call-t/,/Users/gyf/Desktop/earning call analysis/AMD/2022/Q1/,3.242
54,54,SWKS,Information Technology,2022-05-04,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/05/04/skyworks-solutions-swks-q2-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/SWKS/2022/Q2/,8.97
55,55,AKAM,Information Technology,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/akamai-technologies-akam-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/AKAM/2022/Q1/,3.641
56,56,DVN,Energy,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/devon-energy-dvn-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DVN/2022/Q1/,2.014
57,57,MOS,Materials,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/mosaic-mos-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MOS/2022/Q1/,4.672
58,58,NXPI,Information Technology,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/nxp-semiconductors-nxpi-q1-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/NXPI/2022/Q1/,5.585
59,59,HSIC,Health Care,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/henry-schein-hsic-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/HSIC/2022/Q1/,4.393
60,60,ETN,Industrials,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/eaton-etn-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ETN/2022/Q1/,5.153
